ep,title,createAt,description,mention,content,attend,link,remark
EP0,BEASTARS 這本獸控漫畫真厲害,2018/10/20,與 woffy 一起聊聊 2018 獲獎無數，日本漫畫家板垣巴留所繪製的漫畫作品。帶大家一窺巴留老師筆下寫實的獸人世界以及其中的魅力,"《BEASTARS》
《動物方城市》",,尼爾、WOFFY,https://open.firstory.me/story/cjyqpmw902qcj0743ldy9c902,
EP01,打開影展的方式,2018/10/25,"影展選片都在看甚麼？搶票好難怎麼辦？由資深影迷 woffy 帶你了解金馬、金馬奇幻、北影以及其他影展的差異，一起打開你的第一次影展。 尼爾本集只是一個等著別人讓票的廢物 woffy 主編的電影小誌：https://www.facebook.com/GeeksDoNotPanic/ 

內容小勘誤： 
*尼爾提到的電影<無盡之詩>後來有上院線，但更名為<歡迎來到詩樂園> 
*尼爾提到的台南陽光影展，名稱為<光芒影展>","《無盡之詩》（《歡迎來到詩樂園》）
《塞尚與左拉》",,尼爾、WOFFY,https://open.firstory.me/story/cjyqpmw932qcl0743ainyouat,
EP02,異男可以看懂BL嗎？關於我被調教成油腐的形狀,2018/11/2,"雖然下了一個挺聳動的標題，但這集很認真的在討論為什麼異男們不敢接觸 BL 的原因，而身為異男的尼爾，又是怎麼由油腐師傅領進門的呢？ 由於 BL 是個浩瀚的宇宙，一期節目不可能聊完，因此本集只集中在探討 異男們面對 BL 的態度，對於 BL 的定義與分類並不會太過著墨。

[勘誤與小補充]
*woffy 在其中提到由 BL 大叔帶領 BL 麻瓜的書籍，書名為「爺們的BL：閃亮腐海就讓宅宅大叔帶你探索」。書籍連結：https://pse.is/BVKMQ 
*尼爾說到烙印勇士中的反派，名稱中譯為古力菲斯 
*尼爾所提到，把原作中的角色進行 BL 妄想配對，嚴格來說比較算「YAOI」文化，而非原創的「BL」。雖然定義上沒有那麼嚴格，還是特別提出來避免造成誤解","《烙印勇士》
《JoJo系列作品》
《爺們的BL：閃亮腐海就讓宅宅大叔帶你探索》
《惡魔人》
《惡童當街》",,尼爾、WOFFY,https://open.firstory.me/story/cjyqpmw962qcn0743a2ab4i15,
EP03,關於村上，我所說的其實是,2018/11/9,"村上春樹，一個讓真假文青與文青商品廠商高潮的名字，但村上難道就只是這樣而已嗎？在眾多的標籤之下，村上本人又是甚麼樣貌，一切的一切，就讓村上小粉絲尼爾與 woffy 為你揭密村上的魅力吧！ 

[勘誤與小補充] 
*woffy 在其中提到的村上 RADIO 在此：https://www.tfm.co.jp/murakamiradio/ 
*由於村上 RADIO 是限定放送，如果之後還有廣播如何收聽的方式：https://www.plurk.com/p/mvzodd 
*如果....如果你真的很想聽聽看村上聲音的話...這裡： https://drive.google.com/file/d/1rb3CeJTUiakRTdFFJVBPYWV5HidCJKKa/view 
*魔山作者，馮‧托馬斯曼是德國人沒錯","《刺殺騎士團長》
《當我談跑步時, 我談些什麼》
《挪威的森林》
《萊辛頓的幽靈》
《海邊的卡夫卡》
《世界末日與冷酷異境》
《舞·舞·舞》
《地下鐵事件》
《雜文集》
《村上收音機》
《村上 RADIO》
《1Q84》 
《沒有色彩的多崎作和他的巡禮之年》
《魔山》
《爵士群像》",,尼爾、WOFFY,https://open.firstory.me/story/cjyqpmw992qcp0743haoiyu0x,
EP04,難以定義的音樂展演：水曜日のカンパネラ,2018/11/16,"與特別來賓阿欐一起，探索日本新銳流行團體《水曜日のカンパネラ》不斷進化的音樂世界，無論你已經是歌迷，或是從來沒聽過他們的名字，希望都能聽得開心。 如果完全沒聽過他們，本期節目建議搭配底下的 Spotify 清單或 YouTube 連結食用，有可能是史上補充資料最多的一集。

阿欐整理的歌單：https://open.spotify.com/playlist/1bSu1h8tPT1YbIXVoI9c6Y 歌曲依照專輯發售順序，讓大家可以順著聽，感受一下團體音樂風格的變化，最後面也模仿演唱會的手法安置了一些舊歌。

 [其他小補充] 
打響知名度的名曲：http://yt1.piee.pw/CAJ9N 
東京賽馬場的LIVE(現在已換成剪輯過的版本)：http://yt1.piee.pw/CBG8K 
石巻市湖邊的LIVE RECORD：http://yt1.piee.pw/CAZFC 
在蒙古拍攝的：http://yt1.piee.pw/C9EDW 
在印尼即興拍攝的：http://yt1.piee.pw/C5V88 
LIVE時有名的透明滾球片段：http://yt1.piee.pw/BUP9R 
主唱Kom_I的IG：https://www.instagram.com/kom_i_jp/ Kom_I
參與的攝影計畫 ：https://www.zhangjingna.com/shedding-kom-i/","《一休さん》
《TIME TO PLAY》
《聖女貞德》
《Melos》
《ユニコ》
石巻市的LIVE（氣球造型）
《生きろ》
《dele 刪除人生》",,尼爾、阿欐,https://open.firstory.me/story/cjyqpmw9d2qcr0743edaij37n,跟外國團體合作的作品，再麻煩知道的人補充一下QQ
EP05,走入魏斯安德森的超級戀物世界,2018/11/23,"在眾多電影類型之中，影迷們都知道，有一種電影，就叫魏斯安德森。對齊症、控制狂、戀物癖，跟尼爾與 woffy 一起，走入魏導偏執精緻的電影世界。

 [小補充] 
►魏斯安德森的置中癖： https://www.youtube.com/watch?v=oL0DseCrqfU 
►魏斯安德森電影中的標誌物件： https://www.youtube.com/watch?v=nqfRmceGwUs 
►魏斯安德森電影中的色票 https://vimeo.com/182987900 
►犬之島背後的設計花絮 https://www.youtube.com/watch?v=ye-m7hfnar0 
►同人創作：如果魏導來拍A片 https://www.youtube.com/watch?v=aeopJiWnkFI&has_verified=1 
►同人創作：布達佩斯大飯店 mix 鬼店(血腥注意) https://vimeo.com/129295235 同人創作：如果魏導拍了X戰警 https://www.youtube.com/watch?v=UngE0qn3VRY 
以上都只是冰山一角，如果到 VIMEO 搜尋 wes anderson，就有超多影迷們自己整理的混剪素材，品質都非常高。也有許多 YouTuber 在做他的電影分析。","《神隱少女》（woffy看了十次）
《歡迎來到布達佩斯大飯店》
《犬之島》
《超級狐狸先生》
《大吉嶺有限公司》
《鬼店》",,尼爾、WOFFY,https://open.firstory.me/story/cjyqpmw9g2qct0743smwbe6r6,
EP06,絢爛胃痛大作：寶石之國,2018/11/30,"你曾經想過永生是甚麼感覺嗎？與 woffy 聊聊2017黑馬之作「寶石之國」，與可愛的寶石們一起，展開華麗又胃痛的旅程吧。 

[勘誤與其他小補充] 
關於後半聊到的特殊印刷設計，並不是台灣特有的，只能說台版盡力還原了日版的設計。閃膜的IDEA也不是出版社的點子，而是市川老師自己的設計。 
市川春子官方網站：http://ptpt.x0.to/pp/ 寶石之國動畫 OP：https://www.youtube.com/watch?v=C9MuI4gfyiA 
UACG 專文--碎了，心也碎了嗎？：https://www.u-acg.com/archives/15862","《寶石之國》
《尼爾：自動人形》","►基本上無雷，尼爾有不小心說一點點但在最後10分鐘左右。
►比起動畫，我非更推漫畫，因漫畫家具有平面設計的背景，作畫風格更貼近寶石的無機感，動畫則偏萌～",尼爾、WOFFY,https://open.firstory.me/story/cjyqpmw9j2qcv0743a1c7nmnn,
EP07,歌頌人類的勇氣：JOJO,2018/12/14,"勇氣與堅強的意志是少年漫畫最重要的主題，然而如果要舉出其中的佼佼者， JOJO必定當之無愧。 時尚與印象強烈的角色設計、獨樹一格的表現方式、高智商的戰鬥，以及最重要的，代代傳承的黃金精神，和尼爾一起加入 JOJO 的熱血世界，歌頌人類的勇氣吧！ 

[勘誤與其他小補充] 
荒木飛呂彥官方網站：http://www.araki-jojo.com/ 
JOJO動畫 OP 合集：http://neildrinkmilk.piee.pw/JOJOOP 
荒木飛呂彥展：http://jojoex-2018.com/",《JOJO的奇妙冒險》,,尼爾、阿欐,https://open.firstory.me/story/cjyqpmw9m2qcx0743njxugy8o,
EPXmas,聖誕閒聊特輯,2018/12/22,"很多很多ㄉ垃圾話就在這一集嘿嘿
尼爾跟woffy的關係是??
尼爾真的是異男嗎??
為什麼不做OOO主題呢??
這些答案讓2300萬人都驚呆了！

woffy的電影小誌
https://www.facebook.com/GeeksDoNotPanic/",《發條橘子》,"►叫做「喝牛奶」的原因：
是因為影視作品中的高知識反社會份子會喝，是一個on the top的感覺
Woffy的推特ID有「milk」（Woffy曾愛喝牛奶到搜集周邊產品）
►尼爾跟woffy的關係是：
大學同學
►尼爾真的是異男嗎？
是
►",尼爾、WOFFY,https://open.firstory.me/story/cjyqpmw9p2qcz0743b8xisokd,
EP08,專訪李奕樵：小說家談小說,2018/12/29,"本期節目尼爾找來了新銳華語小說家李奕樵，與他聊聊當代小說家的大小事。在視覺媒體如此豐富的現在，小說存在的意義是甚麼？小說家如何找到故事，或是故事如何找上作家？寫小說是否能有一套方法？小說家如何看待寫作與文學獎？ 無論你是書迷，或是正要踏上寫作之路的人 這篇訪談都會是最棒的跨年禮物 

小補充： 
李奕樵著作《遊戲自黑暗》：https://www.books.com.tw/products/0010772100 
李奕樵平面專訪： https://blog.accupass.com/2018_taipei_literature_interview5.html",,,李奕樵,https://open.firstory.me/story/cjyqpmw9s2qd10743ti8uin3a,
